transaction_id,merchant_name,category,amount,currency,transaction_date,status,customer_id,payment_method,merchant_city,issue_found,severity,auto_fixable
TXN100001,PetCorner,pet,8450.87,USD,2026-06-02,completed,C1063,card,Kolkata,None,L,N
TXN100002,FuelPlus,fuel,5615.18,INR,2026-06-04,failed,C1175,NEFT,Bengaluru,None,L,N
TXN100003,ByteStore,tech,10825.34,INR,2026-06-04,failed,C1150,card,Kolkata,None,L,N
TXN100004,HealthHub,pharmacy,17368.36,INR,2026-06-04,completed,C1038,wallet,Pune,None,L,N
TXN100005,CafeBlend,food,18717.28,INR,2026-06-03,completed,C1183,NEFT,Pune,None,L,N
TXN100006,MobiRecharge,telecom,2041.11,INR,2026-06-03,pending,C1010,netbanking,Hyderabad,None,L,N
TXN100007,QuickMart,retail,9423.51,INR,2026-06-03,failed,C1020,wallet,Hyderabad,None,L,N
,HealthHub,pharmacy,4453.99,INR,2026-06-04,completed,C1091,card,Mumbai,missing transaction_id,H,N
TXN100009,HealthHub,pharmacy,15767.36,INR,2026-06-04,failed,C1045,NEFT,Pune,None,L,N
TXN100010,CafeBlend,food,930.92,INR,2026-06-01,completed,C1121,wallet,Bengaluru,None,L,N
TXN100011,HealthHub,pharmacy,9428.19,INR,2026-06-01,completed,C1079,NEFT,Bengaluru,None,L,N
TXN100012,PetCorner,pet,7333.79,USD,2026-06-04,completed,C1014,card,Delhi,None,L,N
TXN100013,MediPharm,pharmacy,12054.9,INR,2026-06-02,completed,C1177,wallet,Bengaluru,None,L,N
TXN100014,CafeBlend,food,16279.56,INR,2026-06-02,failed,C1104,UPI,Bengaluru,None,L,N
TXN100015,FuelPlus,fuel,3263.33,INR,2026-06-02,completed,C1104,card,Mumbai,None,L,N
TXN100016,HealthHub,pharmacy,12393.93,INR,2026-06-04,completed,C1065,UPI,Kolkata,None,L,N
TXN100017,CloudStore,tech,-2847.5,INR,2026-06-01,failed,C1073,UPI,Hyderabad,negative amount,H,N
TXN100018,CloudStore,tech,1163.19,INR,2026-06-02,pending,C1102,netbanking,Kolkata,None,L,N
TXN100019,MobiRecharge,telecom,8859.09,INR,2026-06-04,completed,C1136,UPI,Mumbai,None,L,N
TXN100020,HealthHub,pharmacy,942.52,INR,2026-06-03,pending,C1197,wallet,Mumbai,None,L,N
TXN100021,MediPharm,pharmacy,18796.37,INR,2026-06-02,completed,C1027,netbanking,Mumbai,None,L,N
TXN100022,MobiRecharge,telecom,17826.91,INR,2026-06-02,pending,C1075,wallet,Kolkata,None,L,N
TXN100023,FuelPlus,fuel,19429.59,INR,2026-06-04,completed,C1017,NEFT,Chennai,None,L,N
TXN100024,HealthHub,pharmacy,15103.59,INR,2026-06-03,pending,C1136,card,Chennai,None,L,N
TXN100025,PetCorner,pet,19408.95,USD,2026-06-04,failed,C1040,netbanking,Delhi,duplicate transaction_id,H,N
TXN100026,SpeedPay,payments,14962.3,INR,2026-06-04,completed,C1097,netbanking,Mumbai,None,L,N
TXN100027,GroceryHub,grocery,214.33,INR,2026-06-03,completed,C1049,card,Kolkata,None,L,N
TXN100028,SpeedPay,payments,5830.31,INR,2026-06-04,completed,C1104,netbanking,Pune,None,L,N
TXN100029,PetCorner,pet,199.17,USD,2026-06-02,completed,C1133,netbanking,Pune,None,L,N
TXN100030,FreshMart,retail,21791.14,INR,2026-06-04,completed,C1067,wallet,Delhi,None,L,N
TXN100031,TravelEasy,travel,11738.96,INR,2026-06-03,completed,C1189,UPI,Bengaluru,None,L,N
TXN100032,MobiRecharge,telecom,6848.12,INR,2026-06-01,completed,C1106,netbanking,Chennai,None,L,N
TXN100033,TravelEasy,travel,13825.62,INR,99-99-9999,completed,C1193,UPI,Kolkata,invalid transaction_date format,M,Y
TXN100034,MobiRecharge,telecom,8755.18,INR,2026-06-02,completed,C1117,netbanking,Mumbai,None,L,N
TXN100035,HealthHub,pharmacy,2978.92,INR,2026-06-04,pending,C1107,NEFT,Pune,None,L,N
TXN100036,CafeBlend,food,7993.28,INR,2026-06-02,completed,C1118,NEFT,Kolkata,None,L,N
TXN100037,HealthHub,pharmacy,15430.56,INR,2026-06-02,pending,C1146,wallet,Pune,None,L,N
TXN100038,CafeBlend,food,21571.93,INR,2026-06-02,pending,C1133,UPI,Bengaluru,None,L,N
TXN100039,GroceryHub,grocery,17542.26,INR,2026-06-01,completed,C1167,UPI,Hyderabad,None,L,N
TXN100040,SpeedPay,payments,11782.3,INR,2026-06-01,failed,C1081,wallet,Chennai,None,L,N
